Subject,BPM,RMSSD,SDNN,PNN50,SD1,SD2,LF_HF,Label
Sofia,0.9801035862980855,0.9813867717330033,1.0825805388690515,0.0,0.981617110229959,1.0920271020091665,1.4301906057672433,Baseline
Sofia,0.9798181627800057,0.9615164688939123,1.0870263133897875,0.0,0.961451166437963,1.0983332229954608,1.1588899598855218,Baseline
Sofia,0.9831311228394971,0.9466083338962216,1.1387690852251704,0.0,0.946679724607759,1.1549676674868368,1.7438103329094659,Baseline
Sofia,0.9847184723555876,0.9661743471389481,1.1459373955342427,0.0,0.9662923741326135,1.1612618911385688,1.9146577337186845,Baseline
Sofia,0.9863178401892486,0.9439604732300845,1.1683489359356503,0.0,0.9441611470299394,1.18680654815631,1.3440071833745,Baseline
Sofia,0.9863178401892486,0.9682633751932728,1.20275528950783,0.0,0.9682654378875241,1.2220057377019105,1.1234584048434877,Baseline
Sofia,0.9829259704829929,0.9741132914893972,1.0855853822200543,0.0,0.9741953960109611,1.0958278536554311,1.0916564162167846,Baseline
Sofia,0.9858251739354079,0.8933734927682583,1.0091494075821503,0.0,0.8930570870542086,1.019593180829528,1.0532909263041292,Baseline
Sofia,0.9899458275632939,0.8704626648329021,0.8452872565974701,0.0,0.870127759790368,0.8441637125853423,1.0393329359984724,Baseline
Sofia,0.991260719188574,0.8610690128067733,0.8387529259421763,0.0,0.8612375968026643,0.8378129844045621,1.2561120605671794,Baseline
Sofia,0.9916734865086607,0.8772515909552068,0.8893633892728959,0.0,0.8772708409698697,0.8914343127950647,1.9900742872420978,Baseline
Sofia,1.017373218786602,1.4320655914352363,1.5328576076266245,0.0,1.4322154160257,1.5427779272858921,3.558238050982683,Stress
Sofia,1.0185938811579054,1.387922308664244,1.518102347883346,0.0,1.3881202032128148,1.5303113895553395,4.147049531674373,Stress
Sofia,1.025742592979237,1.5012266862288082,1.6159785935993272,0.5376344086021506,1.5011145326424022,1.627099924853965,5.539833379829625,Stress
Sofia,1.0266413910453545,1.4518414758761238,1.4781683870729045,0.5376344086021506,1.4517753585094368,1.4819919691767454,4.292192746596546,Stress
Sofia,1.0289971453751905,1.5486421283887615,1.5220556715060265,0.53475935828877,1.5485813002582278,1.521417970622377,3.399867602888188,Stress
Sofia,1.023694095185894,1.578877989882236,1.7369537887097317,0.5376344086021506,1.5790037433943063,1.7515767059634606,4.349875883309735,Stress
Sofia,1.0210661205737532,1.5831394766879292,1.7095509826923603,0.5405405405405406,1.5833284699395536,1.7217108969073587,6.724992309160702,Stress
